asset,datetime_et,open,high,low,close,volume,is_or
6J,2026-02-25 17:55:00,0.00643,0.00643,0.006429,0.006429,141,0
6J,2026-02-25 17:56:00,0.006429,0.006429,0.006429,0.006429,45,0
6J,2026-02-25 17:57:00,0.006429,0.006429,0.006427,0.006428,105,0
6J,2026-02-25 17:58:00,0.006428,0.00643,0.006428,0.006429,50,0
6J,2026-02-25 17:59:00,0.006429,0.00643,0.006429,0.00643,33,0
6J,2026-02-25 18:00:00,0.006429,0.006431,0.006429,0.006431,183,1
6J,2026-02-25 18:01:00,0.006431,0.006432,0.006429,0.006429,177,1
6J,2026-02-25 18:02:00,0.006429,0.00643,0.006428,0.006429,64,1
6J,2026-02-25 18:03:00,0.006429,0.006429,0.006427,0.006427,218,1
6J,2026-02-25 18:04:00,0.006427,0.006428,0.006426,0.006427,143,1
6J,2026-02-25 18:05:00,0.006427,0.006428,0.006427,0.006428,60,0
6J,2026-02-25 18:06:00,0.006427,0.006429,0.006427,0.006429,43,0
6J,2026-02-25 18:07:00,0.006429,0.00643,0.006429,0.00643,91,0
6J,2026-02-25 18:08:00,0.00643,0.006431,0.00643,0.00643,112,0
6J,2026-02-25 18:09:00,0.00643,0.006431,0.00643,0.00643,71,0
6J,2026-02-25 18:10:00,0.006431,0.006431,0.00643,0.00643,31,0
6J,2026-02-25 18:11:00,0.006431,0.006432,0.00643,0.006431,212,0
6J,2026-02-25 18:12:00,0.006431,0.006431,0.006431,0.006431,68,0
6J,2026-02-25 18:13:00,0.006431,0.006433,0.00643,0.00643,227,0
6J,2026-02-25 18:14:00,0.00643,0.00643,0.00643,0.00643,38,0
6J,2026-02-26 17:55:00,0.006441,0.006442,0.006441,0.006442,44,0
6J,2026-02-26 17:56:00,0.006442,0.006443,0.006442,0.006443,121,0
6J,2026-02-26 17:57:00,0.006443,0.006443,0.006442,0.006442,84,0
6J,2026-02-26 17:58:00,0.006442,0.006442,0.006441,0.006441,74,0
6J,2026-02-26 17:59:00,0.006442,0.006442,0.006441,0.006442,46,0
6J,2026-02-26 18:00:00,0.006442,0.006442,0.006439,0.00644,371,1
6J,2026-02-26 18:01:00,0.006441,0.006441,0.006439,0.006439,137,1
6J,2026-02-26 18:02:00,0.006439,0.00644,0.006438,0.00644,100,1
6J,2026-02-26 18:03:00,0.00644,0.006441,0.006439,0.006439,52,1
6J,2026-02-26 18:04:00,0.006439,0.006441,0.006439,0.00644,123,1
6J,2026-02-26 18:05:00,0.00644,0.00644,0.006439,0.006439,45,0
6J,2026-02-26 18:06:00,0.006439,0.006439,0.006438,0.006438,61,0
6J,2026-02-26 18:07:00,0.006438,0.006438,0.006438,0.006438,61,0
6J,2026-02-26 18:08:00,0.006438,0.006438,0.006437,0.006438,189,0
6J,2026-02-26 18:09:00,0.006438,0.006438,0.006437,0.006437,46,0
6J,2026-02-26 18:10:00,0.006437,0.006439,0.006437,0.006439,132,0
6J,2026-02-26 18:11:00,0.006439,0.006439,0.006438,0.006438,82,0
6J,2026-02-26 18:12:00,0.006438,0.006439,0.006438,0.006439,45,0
6J,2026-02-26 18:13:00,0.006438,0.006441,0.006438,0.006441,84,0
6J,2026-02-26 18:14:00,0.006441,0.006441,0.00644,0.006441,61,0
6J,2026-03-01 17:55:00,0.006409,0.006411,0.006408,0.00641,460,0
6J,2026-03-01 17:56:00,0.00641,0.006411,0.00641,0.00641,77,0
6J,2026-03-01 17:57:00,0.00641,0.00641,0.006409,0.006409,28,0
6J,2026-03-01 17:58:00,0.006409,0.00641,0.006408,0.00641,79,0
6J,2026-03-01 17:59:00,0.00641,0.00641,0.006409,0.00641,28,0
6J,2026-03-01 18:00:00,0.006409,0.006411,0.006409,0.006409,301,1
6J,2026-03-01 18:01:00,0.006409,0.00641,0.006408,0.006408,231,1
6J,2026-03-01 18:02:00,0.006408,0.006408,0.006407,0.006407,251,1
6J,2026-03-01 18:03:00,0.006407,0.006407,0.006405,0.006406,372,1
6J,2026-03-01 18:04:00,0.006406,0.006407,0.006403,0.006407,502,1
6J,2026-03-01 18:05:00,0.006407,0.006407,0.006405,0.006405,176,0
6J,2026-03-01 18:06:00,0.006405,0.006406,0.006404,0.006404,142,0
6J,2026-03-01 18:07:00,0.006404,0.006404,0.006403,0.006404,369,0
6J,2026-03-01 18:08:00,0.006404,0.006407,0.006404,0.006406,92,0
6J,2026-03-01 18:09:00,0.006406,0.006408,0.006406,0.006408,205,0
6J,2026-03-01 18:10:00,0.006408,0.00641,0.006407,0.006408,225,0
6J,2026-03-01 18:11:00,0.006408,0.00641,0.006408,0.00641,94,0
6J,2026-03-01 18:12:00,0.00641,0.006411,0.00641,0.006411,145,0
6J,2026-03-01 18:13:00,0.00641,0.006411,0.00641,0.00641,184,0
6J,2026-03-01 18:14:00,0.00641,0.006412,0.006409,0.006412,235,0
6J,2026-03-02 17:55:00,0.006384,0.006384,0.006383,0.006384,9,0
6J,2026-03-02 17:56:00,0.006384,0.006384,0.006383,0.006383,50,0
6J,2026-03-02 17:57:00,0.006383,0.006384,0.006383,0.006384,40,0
6J,2026-03-02 17:58:00,0.006384,0.006384,0.006384,0.006384,9,0
6J,2026-03-02 17:59:00,0.006384,0.006384,0.006383,0.006383,106,0
6J,2026-03-02 18:00:00,0.006383,0.006385,0.006383,0.006384,277,1
6J,2026-03-02 18:01:00,0.006384,0.006386,0.006384,0.006385,483,1
6J,2026-03-02 18:02:00,0.006385,0.006386,0.006384,0.006385,171,1
6J,2026-03-02 18:03:00,0.006384,0.006384,0.00638,0.006382,608,1
6J,2026-03-02 18:04:00,0.006382,0.006382,0.00638,0.006382,152,1
6J,2026-03-02 18:05:00,0.006381,0.006382,0.00638,0.006381,90,0
6J,2026-03-02 18:06:00,0.006381,0.006382,0.006381,0.006381,73,0
6J,2026-03-02 18:07:00,0.006381,0.006381,0.00638,0.00638,64,0
6J,2026-03-02 18:08:00,0.00638,0.006381,0.00638,0.006381,85,0
6J,2026-03-02 18:09:00,0.006381,0.006381,0.006381,0.006381,82,0
6J,2026-03-02 18:10:00,0.006381,0.006381,0.006379,0.006379,73,0
6J,2026-03-02 18:11:00,0.006379,0.006381,0.006379,0.006381,38,0
6J,2026-03-02 18:12:00,0.006381,0.006381,0.00638,0.00638,44,0
6J,2026-03-02 18:13:00,0.00638,0.00638,0.006379,0.006379,85,0
6J,2026-03-02 18:14:00,0.006379,0.006379,0.006378,0.006378,58,0
6J,2026-03-03 17:55:00,0.006362,0.006362,0.006362,0.006362,24,0
6J,2026-03-03 17:56:00,0.006362,0.006363,0.006362,0.006363,41,0
6J,2026-03-03 17:57:00,0.006363,0.006363,0.006362,0.006363,78,0
6J,2026-03-03 17:58:00,0.006363,0.006363,0.006361,0.006362,157,0
6J,2026-03-03 17:59:00,0.006362,0.006363,0.006362,0.006363,53,0
6J,2026-03-03 18:00:00,0.006362,0.006363,0.006361,0.006362,275,1
6J,2026-03-03 18:01:00,0.006362,0.006362,0.00636,0.00636,173,1
6J,2026-03-03 18:02:00,0.006359,0.006361,0.006359,0.00636,286,1
6J,2026-03-03 18:03:00,0.00636,0.00636,0.006359,0.00636,270,1
6J,2026-03-03 18:04:00,0.00636,0.00636,0.006359,0.006359,113,1
6J,2026-03-03 18:05:00,0.006359,0.00636,0.006359,0.006359,112,0
6J,2026-03-03 18:06:00,0.006359,0.00636,0.006359,0.00636,192,0
6J,2026-03-03 18:07:00,0.00636,0.006362,0.00636,0.006361,151,0
6J,2026-03-03 18:08:00,0.006361,0.006363,0.006361,0.006362,178,0
6J,2026-03-03 18:09:00,0.006363,0.006364,0.006362,0.006363,834,0
6J,2026-03-03 18:10:00,0.006363,0.006369,0.006362,0.006365,2016,0
6J,2026-03-03 18:11:00,0.006365,0.006366,0.006365,0.006366,84,0
6J,2026-03-03 18:12:00,0.006365,0.006367,0.006365,0.006367,92,0
6J,2026-03-03 18:13:00,0.006366,0.006367,0.006366,0.006367,57,0
6J,2026-03-03 18:14:00,0.006367,0.006367,0.006365,0.006365,334,0
6J,2026-03-04 17:55:00,0.006392,0.006393,0.006392,0.006393,33,0
6J,2026-03-04 17:56:00,0.006393,0.006393,0.006393,0.006393,17,0
6J,2026-03-04 17:57:00,0.006392,0.006393,0.006392,0.006392,14,0
6J,2026-03-04 17:58:00,0.006393,0.006393,0.006392,0.006392,2,0
6J,2026-03-04 17:59:00,0.006393,0.006393,0.006392,0.006393,65,0
6J,2026-03-04 18:00:00,0.006393,0.006394,0.006392,0.006393,150,1
6J,2026-03-04 18:01:00,0.006393,0.006393,0.006392,0.006392,92,1
6J,2026-03-04 18:02:00,0.006393,0.006393,0.006392,0.006393,123,1
6J,2026-03-04 18:03:00,0.006393,0.006394,0.006393,0.006394,120,1
6J,2026-03-04 18:04:00,0.006394,0.006395,0.006394,0.006395,123,1
6J,2026-03-04 18:05:00,0.006395,0.006395,0.006394,0.006395,66,0
6J,2026-03-04 18:06:00,0.006395,0.006396,0.006395,0.006396,80,0
6J,2026-03-04 18:07:00,0.006396,0.006397,0.006395,0.006397,71,0
6J,2026-03-04 18:08:00,0.006397,0.006398,0.006396,0.006398,114,0
6J,2026-03-04 18:09:00,0.006398,0.006399,0.006398,0.006398,139,0
6J,2026-03-04 18:10:00,0.006398,0.006399,0.006398,0.006398,21,0
6J,2026-03-04 18:11:00,0.006398,0.0064,0.006398,0.006399,129,0
6J,2026-03-04 18:12:00,0.006399,0.006399,0.006399,0.006399,15,0
6J,2026-03-04 18:13:00,0.006399,0.0064,0.006399,0.0064,87,0
6J,2026-03-04 18:14:00,0.0064,0.0064,0.006399,0.0064,68,0
6J,2026-03-05 17:55:00,0.006371,0.006371,0.006371,0.006371,22,0
6J,2026-03-05 17:56:00,0.00637,0.006371,0.00637,0.006371,19,0
6J,2026-03-05 17:57:00,0.00637,0.00637,0.00637,0.00637,23,0
6J,2026-03-05 17:58:00,0.00637,0.00637,0.006369,0.006369,34,0
6J,2026-03-05 17:59:00,0.00637,0.00637,0.006368,0.006368,60,0
6J,2026-03-05 18:00:00,0.006369,0.006373,0.006369,0.006373,478,1
6J,2026-03-05 18:01:00,0.006373,0.006375,0.006371,0.006371,421,1
6J,2026-03-05 18:02:00,0.006371,0.006371,0.00637,0.00637,55,1
6J,2026-03-05 18:03:00,0.00637,0.00637,0.00637,0.00637,33,1
6J,2026-03-05 18:04:00,0.006371,0.006372,0.00637,0.006371,110,1
6J,2026-03-05 18:05:00,0.006371,0.006372,0.006369,0.00637,56,0
6J,2026-03-05 18:06:00,0.00637,0.006371,0.00637,0.00637,32,0
6J,2026-03-05 18:07:00,0.00637,0.006371,0.006369,0.00637,59,0
6J,2026-03-05 18:08:00,0.00637,0.00637,0.00637,0.00637,23,0
6J,2026-03-05 18:09:00,0.00637,0.006371,0.00637,0.006371,38,0
6J,2026-03-05 18:10:00,0.006371,0.006371,0.00637,0.006371,76,0
6J,2026-03-05 18:11:00,0.00637,0.006371,0.00637,0.00637,33,0
6J,2026-03-05 18:12:00,0.00637,0.00637,0.006368,0.006369,101,0
6J,2026-03-05 18:13:00,0.006369,0.006369,0.006369,0.006369,58,0
6J,2026-03-05 18:14:00,0.006369,0.00637,0.006369,0.006369,30,0
6J,2026-03-08 17:55:00,0.006337,0.00634,0.006337,0.00634,137,0
6J,2026-03-08 17:56:00,0.00634,0.006341,0.006339,0.00634,157,0
6J,2026-03-08 17:57:00,0.00634,0.00634,0.006339,0.00634,127,0
6J,2026-03-08 17:58:00,0.00634,0.00634,0.006339,0.006339,68,0
6J,2026-03-08 17:59:00,0.006339,0.006339,0.006337,0.006338,56,0
6J,2026-03-08 18:00:00,0.006337,0.00634,0.006337,0.006339,113,1
6J,2026-03-08 18:01:00,0.006339,0.00634,0.006337,0.006337,32,1
6J,2026-03-08 18:02:00,0.006337,0.006337,0.006336,0.006337,81,1
6J,2026-03-08 18:03:00,0.006337,0.006338,0.006336,0.006337,199,1
6J,2026-03-08 18:04:00,0.006337,0.006338,0.006336,0.006337,164,1
