datetime_et,open,high,low,close,volume,is_or
2026-02-25 09:25:00,6983.415886,6983.919776,6982.660051,6982.911996,721,0
2026-02-25 09:26:00,6982.660051,6983.415886,6981.904215,6983.163941,673,0
2026-02-25 09:27:00,6983.415886,6983.919776,6982.660051,6983.919776,779,0
2026-02-25 09:28:00,6983.919776,6986.439228,6983.919776,6984.927557,2108,0
2026-02-25 09:29:00,6984.675612,6985.179502,6983.415886,6984.423667,1816,0
2026-02-25 09:30:00,6984.423667,6993.745638,6983.667831,6992.233967,14287,1
2026-02-25 09:31:00,6992.233967,6995.257309,6988.706734,6990.218405,10743,1
2026-02-25 09:32:00,6990.218405,6992.233967,6988.95868,6989.210625,7433,1
2026-02-25 09:33:00,6989.210625,6991.478131,6988.706734,6990.974241,4920,1
2026-02-25 09:34:00,6991.226186,6992.989802,6990.470351,6991.226186,4720,1
2026-02-25 09:35:00,6991.226186,6993.241747,6989.96646,6991.982021,4887,0
2026-02-25 09:36:00,6991.982021,6994.249528,6989.96646,6994.249528,5012,0
2026-02-25 09:37:00,6994.249528,6997.020925,6993.241747,6993.493692,7747,0
2026-02-25 09:38:00,6993.241747,6994.501473,6991.730076,6992.233967,4452,0
2026-02-25 09:39:00,6992.485912,6995.257309,6991.478131,6994.249528,4264,0
2026-02-25 09:40:00,6994.249528,6996.265089,6991.982021,6995.257309,5604,0
2026-02-25 09:41:00,6995.257309,6996.265089,6992.485912,6992.989802,4184,0
2026-02-25 09:42:00,6992.989802,6994.501473,6989.46257,6989.96646,5435,0
2026-02-25 09:43:00,6989.96646,6994.249528,6988.95868,6992.485912,5563,0
2026-02-25 09:44:00,6992.737857,6993.997583,6991.226186,6991.982021,3176,0
2026-02-26 09:25:00,7018.940153,7018.940153,7016.924592,7017.428482,1143,0
2026-02-26 09:26:00,7017.176537,7018.436263,7016.924592,7016.924592,588,0
2026-02-26 09:27:00,7016.924592,7016.924592,7013.649305,7014.405141,2483,0
2026-02-26 09:28:00,7014.405141,7016.420702,7013.39736,7015.664866,1974,0
