datetime_et,open,high,low,close,volume,is_or
2026-02-25 18:00:00,60015.854998,60015.854998,60015.854998,60015.854998,1,1
2026-02-25 18:01:00,59960.794581,59965.800073,59905.734163,59905.734163,15,1
2026-02-25 18:02:00,59900.728671,59900.728671,59875.701208,59875.701208,9,1
2026-02-25 18:03:00,59865.690223,59865.690223,59865.690223,59865.690223,1,1
2026-02-25 18:04:00,59835.657268,59835.657268,59830.651776,59835.657268,6,1
2026-02-25 18:05:00,59860.684731,59865.690223,59860.684731,59865.690223,4,0
2026-02-25 18:06:00,59870.695716,59870.695716,59870.695716,59870.695716,2,0
2026-02-25 18:07:00,59850.673746,59850.673746,59840.662761,59840.662761,8,0
2026-02-25 18:08:00,59865.690223,59865.690223,59865.690223,59865.690223,3,0
2026-02-25 18:09:00,59875.701208,59900.728671,59875.701208,59900.728671,14,0
2026-02-25 18:10:00,59890.717686,59890.717686,59860.684731,59860.684731,3,0
2026-02-25 18:11:00,59850.673746,59850.673746,59850.673746,59850.673746,1,0
2026-02-25 18:12:00,59850.673746,59850.673746,59850.673746,59850.673746,0,0
2026-02-25 18:13:00,59820.640791,59820.640791,59800.618821,59800.618821,4,0
2026-02-25 18:14:00,59820.640791,59820.640791,59800.618821,59800.618821,0,0
2026-02-26 18:00:00,58734.44892,58759.476382,58624.328085,58664.372025,33,1
2026-02-26 18:01:00,58604.306115,58649.355547,58579.278653,58649.355547,6,1
2026-02-26 18:02:00,58604.306115,58649.355547,58579.278653,58649.355547,0,1
2026-02-26 18:03:00,58604.306115,58649.355547,58579.278653,58649.355547,0,1
2026-02-26 18:04:00,58564.262175,58564.262175,58509.201758,58509.201758,10,1
2026-02-26 18:05:00,58519.212743,58519.212743,58519.212743,58519.212743,2,0
2026-02-26 18:06:00,58519.212743,58519.212743,58519.212743,58519.212743,0,0
2026-02-26 18:07:00,58519.212743,58519.212743,58519.212743,58519.212743,0,0
2026-02-26 18:08:00,58519.212743,58519.212743,58519.212743,58519.212743,0,0
2026-02-26 18:09:00,58519.212743,58519.212743,58519.212743,58519.212743,0,0
