datetime_et,open,high,low,close,volume,is_or
2026-02-25 09:25:00,49759.502983,49760.509731,49743.395023,49747.422013,143,0
2026-02-25 09:26:00,49747.422013,49752.455751,49744.40177,49752.455751,83,0
2026-02-25 09:27:00,49753.462498,49754.469246,49747.422013,49754.469246,96,0
2026-02-25 09:28:00,49755.475993,49771.583953,49750.442256,49755.475993,195,0
2026-02-25 09:29:00,49754.469246,49754.469246,49730.307305,49751.449003,630,0
2026-02-25 09:30:00,49749.435508,49815.880844,49714.199345,49793.732399,2531,1
2026-02-25 09:31:00,49793.732399,49805.813369,49659.834979,49678.963182,2946,1
2026-02-25 09:32:00,49678.963182,49742.388275,49671.915949,49705.138617,2214,1
2026-02-25 09:33:00,49703.125122,49713.192597,49682.990172,49703.125122,736,1
2026-02-25 09:34:00,49702.118375,49724.26682,49692.050899,49716.21284,561,1
2026-02-25 09:35:00,49713.192597,49752.455751,49685.003667,49728.29381,715,0
2026-02-25 09:36:00,49727.287063,49734.334295,49701.111627,49727.287063,468,0
2026-02-25 09:37:00,49728.29381,49774.604196,49725.273568,49743.395023,639,0
2026-02-25 09:38:00,49743.395023,49768.563711,49737.354538,49741.381528,392,0
2026-02-25 09:39:00,49741.381528,49764.536721,49734.334295,49745.408518,310,0
2026-02-25 09:40:00,49746.415265,49790.712156,49727.287063,49783.664924,523,0
2026-02-25 09:41:00,49780.644681,49780.644681,49729.300558,49741.381528,350,0
2026-02-25 09:42:00,49739.368033,49748.42876,49700.104879,49704.13187,492,0
2026-02-25 09:43:00,49705.138617,49726.280315,49692.050899,49713.192597,401,0
2026-02-25 09:44:00,49711.179102,49726.280315,49700.104879,49714.199345,356,0
2026-02-26 09:25:00,50027.297824,50040.385542,50026.291076,50032.331561,169,0
2026-02-26 09:26:00,50031.324814,50044.412532,50028.304571,50034.345057,122,0
2026-02-26 09:27:00,50033.338309,50041.392289,50027.297824,50037.365299,163,0
