date,open,high,low,close,volume
2025-02-25,38353.422101,38373.4788,37796.848712,38177.925988,3316
2025-02-26,38293.252005,38594.102486,38047.557446,38293.252005,3578
2025-02-27,38408.578023,38458.71977,37681.522695,37841.976284,4864
2025-02-28,37355.601341,37741.692791,37160.048528,37711.607743,4202
2025-03-03,38328.351228,38378.492975,37220.218625,37470.927358,6747
2025-03-04,36834.127174,37671.494345,36377.837279,37330.530467,8957
2025-03-05,37325.516293,37947.273953,37205.176101,37751.72114,6544
2025-03-06,37220.218625,37576.225027,36964.495716,37155.034354,4613
2025-03-07,36738.857856,37430.813961,36578.404266,37325.516293,5232
2025-03-10,36718.801157,36849.169698,36282.56796,36518.23417,3908
2025-03-11,36768.942904,36959.481541,36217.383689,36643.588537,5267
2025-03-12,37285.402895,37325.516293,36879.254747,37114.920956,2289
2025-03-13,37019.250966,37124.991482,36666.782581,36863.157824,2840
2025-03-14,37477.459867,37744.328787,37422.071978,37638.588271,2194
2025-03-17,37719.152474,38147.149799,37714.117211,38026.303495,1849
2025-03-18,37970.915606,37970.915606,37759.434575,37890.351404,2920
2025-03-19,37895.386666,38147.149799,37870.210353,37965.880343,2566
2025-03-20,37537.883019,37834.963515,37517.741968,37809.787201,1588
2025-03-21,37517.741968,37749.36405,37447.248291,37663.764585,1851
2025-03-24,37819.857727,38111.90296,37809.787201,38081.691384,2741
2025-03-25,38011.197707,38187.4319,37895.386666,38172.326112,1461
2025-03-26,38091.761909,38137.079273,37749.36405,37784.610888,2118
2025-03-27,37744.328787,37880.280878,37603.341433,37779.575625,1703
2025-03-28,37084.70938,37170.308845,36641.606268,36651.676793,2852
2025-03-31,36077.656851,36480.477863,35825.893719,36354.596297,2428
2025-04-01,35785.611618,36203.538418,35473.425334,36077.656851,3335
2025-04-02,35735.258992,36837.981511,35171.309575,35221.662202,4497
2025-04-03,34496.584381,34708.065412,33967.881803,33967.881803,3499
2025-04-04,33121.957679,33273.015558,32316.315656,32552.973,7945
2025-04-07,31722.154664,34068.587056,31571.096784,32880.265072,14698
2025-04-08,34038.37548,34269.997562,32160.222514,32457.30301,8617
2025-04-09,31792.648341,35503.63691,31792.648341,35443.213758,11083
2025-04-10,34123.974945,34209.57441,32839.982971,33786.612348,6267
2025-04-11,33358.615023,34144.115996,33237.76872,34108.869157,4614
2025-04-14,34798.70014,34864.158554,34340.491239,34667.783311,2602
2025-04-15,34743.312251,34985.004857,34692.959624,34838.982241,2003
2025-04-16,34456.30228,34703.030149,33937.670227,34144.115996,2471
2025-04-17,34813.805928,35090.745373,34718.135937,34864.158554,2060
2025-04-21,34677.853836,34703.030149,34199.503885,34431.125967,1457
2025-04-22,34884.299605,35307.261667,34838.982241,35161.23905,2387
2025-04-23,35569.095324,35866.17582,35458.319546,35785.611618,4216
2025-04-24,35463.354809,36007.163174,35387.825869,35921.563709,1915
2025-04-25,36077.656851,36430.125237,36012.198437,36399.913661,1626
2025-04-28,36339.490509,36409.984186,36042.410013,36213.608943,2165
2025-04-29,36279.067357,36490.548388,36243.820519,36369.702085,1673
2025-04-30,36143.115266,36636.571005,35951.775285,36576.147853,2497
2025-05-01,37119.956219,37401.930927,37004.145178,37084.70938,2050
2025-05-02,37205.555684,37563.059332,37014.215703,37547.953544,2160
2025-05-05,37406.96619,37673.83511,37361.648826,37467.389341,1320
2025-05-06,37135.062007,37356.613563,36953.792552,37034.356754,1635
2025-05-07,37069.603593,37406.96619,36928.616238,37250.873048,2516
2025-05-08,37623.482483,38011.197707,37517.741968,37804.751939,2563
2025-05-09,37880.280878,37920.56298,37638.588271,37789.646151,1206
2025-05-12,38811.804468,39123.990752,38701.02869,39078.673388,1949
2025-05-13,38519.759234,38816.83973,38484.512396,38640.605538,1210
2025-05-14,38283.10189,38283.10189,37910.492454,37970.915606,1765
2025-05-15,38031.338758,38157.220324,37955.809818,38096.797172,936
2025-05-16,38116.938223,38308.278203,38051.479808,38111.90296,1171
2025-05-19,37578.16512,37915.527717,37578.16512,37890.351404,1437
2025-05-20,37930.633505,38006.162444,37769.5051,37910.492454,947
2025-05-21,37477.459867,37663.764585,37109.885694,37140.09727,2826
2025-05-22,37135.062007,37507.671443,37094.779906,37417.036715,1740
2025-05-23,36908.475188,37230.731997,36893.3694,37165.273583,1820
2025-05-26,37890.351404,37925.598242,37809.787201,37890.351404,257
2025-05-27,38363.666092,38675.852376,38278.066627,38615.429225,1431
2025-05-28,38207.57295,38278.066627,38076.656122,38227.714001,1553
2025-05-29,38313.313466,38318.348728,38011.197707,38192.467162,2415
2025-05-30,38071.620859,38116.938223,37673.83511,37955.809818,1845
2025-06-02,37764.469838,38127.008748,37558.024069,38066.585596,1865
2025-06-03,37900.421929,38066.585596,37850.069303,37996.091919,1356
2025-06-04,37930.633505,38006.162444,37759.434575,37819.857727,1375
2025-06-05,37769.5051,37925.598242,37583.200382,37734.258262,2340
2025-06-06,38348.560304,38429.124507,38192.467162,38278.066627,1136
2025-06-09,38509.688709,38610.393962,38449.265557,38509.688709,1686
2025-06-10,38484.512396,38675.852376,38434.159769,38650.676063,1128
