date,close
2025-02-26,20.03
2025-02-27,19.75
2025-02-28,21.22
2025-03-01,20.18
2025-03-04,22.18
2025-03-05,22.78
2025-03-06,21.72
2025-03-07,23.7
2025-03-08,22.59
2025-03-11,25.72
2025-03-12,25.34
2025-03-13,23.67
2025-03-14,24.06
2025-03-15,22.17
2025-03-18,21.3
2025-03-19,21.97
2025-03-20,20.83
2025-03-21,20.71
2025-03-22,20.35
2025-03-25,19.04
2025-03-26,19.05
2025-03-27,19.84
2025-03-28,19.89
2025-03-29,22.01
2025-04-01,21.97
2025-04-02,21.82
2025-04-03,21.45
2025-04-04,27.38
2025-04-05,36.71
2025-04-08,36.88
2025-04-09,41.5
2025-04-10,29.92
2025-04-11,35.71
2025-04-12,33.91
2025-04-15,29.63
2025-04-16,29.0
2025-04-17,30.94
2025-04-18,29.35
2025-04-22,31.83
2025-04-23,29.45
2025-04-24,28.02
2025-04-25,26.44
2025-04-26,25.37
2025-04-29,25.73
2025-04-30,25.22
2025-05-01,25.54
2025-05-02,25.49
2025-05-03,24.0
2025-05-06,24.55
2025-05-07,25.41
2025-05-08,24.7
2025-05-09,23.76
2025-05-10,23.38
2025-05-13,20.22
2025-05-14,20.09
2025-05-15,20.58
2025-05-16,20.25
2025-05-17,20.08
2025-05-20,20.69
2025-05-21,20.72
2025-05-22,22.66
2025-05-23,22.32
2025-05-24,23.8
2025-05-28,21.29
2025-05-29,21.67
2025-05-30,21.62
2025-05-31,21.38
2025-06-03,21.09
2025-06-04,20.72
2025-06-05,20.66
2025-06-06,21.11
2025-06-07,20.02
2025-06-10,20.09
2025-06-11,19.94
2025-06-12,20.3
2025-06-13,20.65
2025-06-14,22.62
2025-06-17,21.23
2025-06-18,22.91
2025-06-19,21.97
2025-06-21,22.48
2025-06-24,21.82
2025-06-25,20.05
2025-06-26,19.67
2025-06-27,19.45
2025-06-28,19.45
2025-07-01,19.44
2025-07-02,19.51
2025-07-03,19.35
2025-07-04,19.21
2025-07-08,20.21
2025-07-09,19.58
2025-07-10,19.02
2025-07-11,18.92
2025-07-12,19.37
2025-07-15,19.84
2025-07-16,20.06
2025-07-17,20.09
2025-07-18,19.69
2025-07-19,19.58
2025-07-22,19.51
2025-07-23,19.53
2025-07-24,18.56
2025-07-25,18.56
2025-07-26,18.32
2025-07-29,18.16
2025-07-30,18.77
2025-07-31,18.35
2025-08-01,19.14
2025-08-02,21.24
2025-08-05,19.61
2025-08-06,20.03
2025-08-07,19.47
2025-08-08,19.35
2025-08-09,18.7
2025-08-12,19.25
2025-08-13,18.34
2025-08-14,18.33
2025-08-15,18.49
2025-08-16,18.64
2025-08-19,18.45
2025-08-20,18.9
2025-08-21,19.1
2025-08-22,19.41
2025-08-23,17.76
2025-08-26,18.02
2025-08-27,17.9
2025-08-28,17.94
