"asset_id","trade_date","open","high","low","close","volume","ts"
"ES","2025-02-25",6256.006214,6263.564925,6176.248781,6234.372662,1864021,"2026-04-01T16:16:08.346309Z"
"ES","2025-02-26",6242.192018,6280.246218,6198.664269,6245.319761,1644114,"2026-04-01T16:16:08.349860Z"
"ES","2025-02-27",6250.79331,6263.043635,6123.07716,6131.417806,2198039,"2026-04-01T16:16:08.351166Z"
"ES","2025-02-28",6130.11458,6225.25008,6097.012639,6211.696529,2339831,"2026-04-01T16:16:08.352028Z"
"ES","2025-03-03",6239.585566,6252.357181,6069.644893,6125.162321,2229904,"2026-04-01T16:16:08.352982Z"
"ES","2025-03-04",6066.777795,6125.944257,5988.584234,6073.03328,2787467,"2026-04-01T16:16:08.355455Z"
"ES","2025-03-05",6034.45779,6119.428127,5995.621654,6094.406187,1818030,"2026-04-01T16:16:08.356267Z"
"ES","2025-03-06",6019.601013,6069.123602,5963.562294,6006.568753,2155366,"2026-04-01T16:16:08.358056Z"
"ES","2025-03-07",5970.078424,6037.585532,5914.560995,6017.515852,1865646,"2026-04-01T16:16:08.359366Z"
"ES","2025-03-10",5933.588095,5954.439712,5808.739042,5868.426794,2068527,"2026-04-01T16:16:08.360705Z"
"ES","2025-03-11",5847.835823,5884.065506,5769.642261,5814.212592,2072069,"2026-04-01T16:16:08.362019Z"
"ES","2025-03-12",5875.464215,5885.368733,5786.5842,5835.585498,1513476,"2026-04-01T16:16:08.362949Z"
"ES","2025-03-13",5836.367434,5842.362274,5743.838386,5773.291294,1561729,"2026-04-01T16:16:08.364213Z"
"ES","2025-03-14",5809.260333,5889.278411,5800.919686,5868.426794,1307640,"2026-04-01T16:16:08.365830Z"
"ES","2025-03-17",5877.288731,5950.530034,5872.597117,5922.119706,554841,"2026-04-01T16:16:08.367258Z"
"ES","2025-03-18",5898.140348,5900.225509,5838.452596,5857.479696,299082,"2026-04-01T16:16:08.368874Z"
"ES","2025-03-19",5877.028086,5961.998423,5864.256471,5920.034545,205639,"2026-04-01T16:16:08.370418Z"
"ES","2025-03-20",5881.459054,5957.567454,5873.379053,5907.78422,139006,"2026-04-01T16:16:08.372301Z"
"ES","2025-03-21",5853.527477,5913.726625,5841.384301,5911.401336,1214827,"2026-04-01T16:16:08.374143Z"
"ES","2025-03-24",5975.992697,6020.431553,5969.275196,6007.513281,1106689,"2026-04-01T16:16:08.375489Z"
"ES","2025-03-25",6020.948284,6032.574729,6003.896165,6027.149055,842430,"2026-04-01T16:16:08.377131Z"
"ES","2025-03-26",6018.881361,6029.732709,5935.170957,5947.314133,1269497,"2026-04-01T16:16:08.378002Z"
