"asset_id","session_date","session_type","or_minutes","volume_first_m_min","ts"
"MNQ","2026-03-09","NY",5,46998,"2026-04-01T16:16:07.878854Z"
"MNQ","2026-03-10","NY",5,53685,"2026-04-01T16:16:07.879726Z"
"MNQ","2026-03-11","NY",5,37404,"2026-04-01T16:16:07.880666Z"
"MNQ","2026-03-12","NY",5,50487,"2026-04-01T16:16:07.881672Z"
"MNQ","2026-03-13","NY",5,45430,"2026-04-01T16:16:07.882794Z"
"MNQ","2026-03-16","NY",5,25229,"2026-04-01T16:16:07.883868Z"
"MNQ","2026-03-17","NY",5,11344,"2026-04-01T16:16:07.884842Z"
"MNQ","2026-03-18","NY",5,5396,"2026-04-01T16:16:07.885614Z"
"MNQ","2026-03-19","NY",5,4447,"2026-04-01T16:16:07.886369Z"
"MNQ","2026-03-20","NY",5,44401,"2026-04-01T16:16:07.887284Z"
"MNQ","2026-03-23","NY",5,37891,"2026-04-01T16:16:07.888051Z"
"MNQ","2026-03-24","NY",5,36777,"2026-04-01T16:16:07.888945Z"
"MNQ","2026-03-25","NY",5,33963,"2026-04-01T16:16:07.889713Z"
"MNQ","2026-03-26","NY",5,38845,"2026-04-01T16:16:07.890519Z"
"MNQ","2026-03-27","NY",5,40432,"2026-04-01T16:16:07.892066Z"
"MNQ","2026-03-30","NY",5,41795,"2026-04-01T16:16:07.892906Z"
"M2K","2026-02-25","NY",5,4745,"2026-04-01T16:16:07.897957Z"
"M2K","2026-02-26","NY",5,5008,"2026-04-01T16:16:07.899055Z"
"M2K","2026-02-27","NY",5,4823,"2026-04-01T16:16:07.900376Z"
"M2K","2026-03-02","NY",5,6651,"2026-04-01T16:16:07.901340Z"
"M2K","2026-03-03","NY",5,5555,"2026-04-01T16:16:07.902426Z"
"M2K","2026-03-04","NY",5,5661,"2026-04-01T16:16:07.903774Z"
"M2K","2026-03-05","NY",5,5322,"2026-04-01T16:16:07.904822Z"
"M2K","2026-03-06","NY",5,4825,"2026-04-01T16:16:07.905691Z"
"M2K","2026-03-09","NY",5,5016,"2026-04-01T16:16:07.906988Z"
"M2K","2026-03-10","NY",5,4706,"2026-04-01T16:16:07.907842Z"
"M2K","2026-03-11","NY",5,3374,"2026-04-01T16:16:07.908820Z"
"M2K","2026-03-12","NY",5,4340,"2026-04-01T16:16:07.909622Z"
"M2K","2026-03-13","NY",5,4169,"2026-04-01T16:16:07.910494Z"
"M2K","2026-03-16","NY",5,439,"2026-04-01T16:16:07.911322Z"
"M2K","2026-03-17","NY",5,1029,"2026-04-01T16:16:07.912111Z"
"M2K","2026-03-18","NY",5,554,"2026-04-01T16:16:07.912967Z"
"M2K","2026-03-19","NY",5,68,"2026-04-01T16:16:07.913949Z"
"M2K","2026-03-20","NY",5,5798,"2026-04-01T16:16:07.914874Z"
"M2K","2026-03-23","NY",5,5364,"2026-04-01T16:16:07.915902Z"
"M2K","2026-03-24","NY",5,4318,"2026-04-01T16:16:07.916834Z"
"M2K","2026-03-25","NY",5,3260,"2026-04-01T16:16:07.917656Z"
"M2K","2026-03-26","NY",5,2821,"2026-04-01T16:16:07.918739Z"
"M2K","2026-03-27","NY",5,3751,"2026-04-01T16:16:07.919638Z"
"M2K","2026-03-30","NY",5,3951,"2026-04-01T16:16:07.920583Z"
"MYM","2026-02-25","NY",9,12763,"2026-04-01T16:16:07.924939Z"
"MYM","2026-02-26","NY",9,12522,"2026-04-01T16:16:07.925847Z"
"MYM","2026-02-27","NY",9,11185,"2026-04-01T16:16:07.926530Z"
"MYM","2026-03-02","NY",9,13584,"2026-04-01T16:16:07.927220Z"
"MYM","2026-03-03","NY",9,15091,"2026-04-01T16:16:07.927917Z"
"MYM","2026-03-04","NY",9,14965,"2026-04-01T16:16:07.928522Z"
"MYM","2026-03-05","NY",9,8401,"2026-04-01T16:16:07.929153Z"
"MYM","2026-03-06","NY",9,11923,"2026-04-01T16:16:07.929823Z"
"MYM","2026-03-09","NY",9,11557,"2026-04-01T16:16:07.930447Z"
"MYM","2026-03-10","NY",9,13333,"2026-04-01T16:16:07.931129Z"
"MYM","2026-03-11","NY",9,10611,"2026-04-01T16:16:07.931766Z"
"MYM","2026-03-12","NY",9,11178,"2026-04-01T16:16:07.933206Z"
"MYM","2026-03-13","NY",9,7817,"2026-04-01T16:16:07.934419Z"
"MYM","2026-03-16","NY",9,2795,"2026-04-01T16:16:07.935172Z"
"MYM","2026-03-17","NY",9,1588,"2026-04-01T16:16:07.935877Z"
"MYM","2026-03-18","NY",9,716,"2026-04-01T16:16:07.936525Z"
"MYM","2026-03-19","NY",9,546,"2026-04-01T16:16:07.937405Z"
"MYM","2026-03-20","NY",9,6547,"2026-04-01T16:16:07.938064Z"
"MYM","2026-03-23","NY",9,9570,"2026-04-01T16:16:07.938789Z"
"MYM","2026-03-24","NY",9,7190,"2026-04-01T16:16:07.940383Z"
"MYM","2026-03-25","NY",9,10562,"2026-04-01T16:16:07.941350Z"
"MYM","2026-03-26","NY",9,7761,"2026-04-01T16:16:07.942098Z"
"MYM","2026-03-27","NY",9,8306,"2026-04-01T16:16:07.943260Z"
"MYM","2026-03-30","NY",9,7395,"2026-04-01T16:16:07.943988Z"
"NKD","2026-02-25","APAC",6,32,"2026-04-01T16:16:07.948919Z"
"NKD","2026-02-26","APAC",6,49,"2026-04-01T16:16:07.949740Z"
"NKD","2026-03-01","APAC",6,71,"2026-04-01T16:16:07.950611Z"
"NKD","2026-03-02","APAC",6,1,"2026-04-01T16:16:07.951317Z"
"NKD","2026-03-03","APAC",6,6,"2026-04-01T16:16:07.952104Z"
"NKD","2026-03-04","APAC",6,2,"2026-04-01T16:16:07.954001Z"
"NKD","2026-03-05","APAC",6,5,"2026-04-01T16:16:07.954889Z"
"NKD","2026-03-08","APAC",6,118,"2026-04-01T16:16:07.958051Z"
"NKD","2026-03-09","APAC",6,1,"2026-04-01T16:16:07.959048Z"
"NKD","2026-03-10","APAC",6,11,"2026-04-01T16:16:07.960060Z"
"NKD","2026-03-11","APAC",6,2,"2026-04-01T16:16:07.960926Z"
"NKD","2026-03-12","APAC",6,3,"2026-04-01T16:16:07.961524Z"
"NKD","2026-03-15","APAC",6,44,"2026-04-01T16:16:07.962203Z"
"NKD","2026-03-16","APAC",6,12,"2026-04-01T16:16:07.963257Z"
"NKD","2026-03-17","APAC",6,0,"2026-04-01T16:16:07.964144Z"
"NKD","2026-03-18","APAC",6,1,"2026-04-01T16:16:07.964934Z"
"NKD","2026-03-19","APAC",6,7,"2026-04-01T16:16:07.965596Z"
"NKD","2026-03-22","APAC",6,100,"2026-04-01T16:16:07.966358Z"
"NKD","2026-03-23","APAC",6,17,"2026-04-01T16:16:07.967066Z"
"NKD","2026-03-24","APAC",6,6,"2026-04-01T16:16:07.968193Z"
"NKD","2026-03-25","APAC",6,4,"2026-04-01T16:16:07.969121Z"
"NKD","2026-03-26","APAC",6,8,"2026-04-01T16:16:07.970128Z"
"NKD","2026-03-29","APAC",6,50,"2026-04-01T16:16:07.970991Z"
"NKD","2026-03-30","APAC",6,1,"2026-04-01T16:16:07.972258Z"
"MGC","2026-02-25","NY",2,942,"2026-04-01T16:16:07.977786Z"
"MGC","2026-02-26","NY",2,1412,"2026-04-01T16:16:07.978805Z"
"MGC","2026-02-27","NY",2,1112,"2026-04-01T16:16:07.980022Z"
"MGC","2026-03-02","NY",2,1700,"2026-04-01T16:16:07.980868Z"
"MGC","2026-03-03","NY",2,1247,"2026-04-01T16:16:07.981537Z"
"MGC","2026-03-04","NY",2,1809,"2026-04-01T16:16:07.982237Z"
"MGC","2026-03-05","NY",2,1124,"2026-04-01T16:16:07.983785Z"
"MGC","2026-03-06","NY",2,784,"2026-04-01T16:16:07.987160Z"
"MGC","2026-03-09","NY",2,2110,"2026-04-01T16:16:07.988154Z"
"MGC","2026-03-10","NY",2,1032,"2026-04-01T16:16:07.989197Z"
"MGC","2026-03-11","NY",2,991,"2026-04-01T16:16:07.990167Z"
"MGC","2026-03-12","NY",2,668,"2026-04-01T16:16:07.991284Z"
"MGC","2026-03-13","NY",2,1227,"2026-04-01T16:16:07.992319Z"
"MGC","2026-03-16","NY",2,874,"2026-04-01T16:16:07.993475Z"
"MGC","2026-03-17","NY",2,928,"2026-04-01T16:16:07.994323Z"
"MGC","2026-03-18","NY",2,788,"2026-04-01T16:16:07.995302Z"
"MGC","2026-03-19","NY",2,3382,"2026-04-01T16:16:07.996518Z"
"MGC","2026-03-20","NY",2,2032,"2026-04-01T16:16:07.997676Z"
"MGC","2026-03-23","NY",2,7673,"2026-04-01T16:16:07.998699Z"
"MGC","2026-03-24","NY",2,3635,"2026-04-01T16:16:08.000272Z"
"MGC","2026-03-25","NY",2,1263,"2026-04-01T16:16:08.001621Z"
"MGC","2026-03-26","NY",2,2124,"2026-04-01T16:16:08.003085Z"
"MGC","2026-03-27","NY",2,141,"2026-04-01T16:16:08.004290Z"
"MGC","2026-03-30","NY",2,22,"2026-04-01T16:16:08.005305Z"
"ZB","2026-02-25","NY",10,190,"2026-04-01T16:16:08.010459Z"
"ZB","2026-02-26","NY",10,27,"2026-04-01T16:16:08.012092Z"
"ZB","2026-02-27","NY",10,41,"2026-04-01T16:16:08.013356Z"
"ZB","2026-03-02","NY",10,1,"2026-04-01T16:16:08.014911Z"
"ZB","2026-03-03","NY",10,41,"2026-04-01T16:16:08.016586Z"
"ZB","2026-03-04","NY",10,0,"2026-04-01T16:16:08.017642Z"
"ZB","2026-03-05","NY",10,0,"2026-04-01T16:16:08.018695Z"
"ZB","2026-03-06","NY",10,0,"2026-04-01T16:16:08.019737Z"
"ZB","2026-03-09","NY",10,0,"2026-04-01T16:16:08.020769Z"
"ZB","2026-03-10","NY",10,0,"2026-04-01T16:16:08.021896Z"
"ZB","2026-03-11","NY",10,0,"2026-04-01T16:16:08.023088Z"
"ZB","2026-03-12","NY",10,0,"2026-04-01T16:16:08.024326Z"
"ZB","2026-03-13","NY",10,0,"2026-04-01T16:16:08.025161Z"
"ZB","2026-03-16","NY",10,0,"2026-04-01T16:16:08.026166Z"
"ZB","2026-03-17","NY",10,0,"2026-04-01T16:16:08.027367Z"
"ZB","2026-03-18","NY",10,0,"2026-04-01T16:16:08.028548Z"
"ZB","2026-03-19","NY",10,0,"2026-04-01T16:16:08.029918Z"
"ZB","2026-03-20","NY",10,1237,"2026-04-01T16:16:08.031316Z"
"ZB","2026-03-23","NY",10,1925,"2026-04-01T16:16:08.034139Z"
"ZB","2026-03-24","NY",10,1903,"2026-04-01T16:16:08.036756Z"
"ZB","2026-03-25","NY",10,1165,"2026-04-01T16:16:08.037969Z"
"ZB","2026-03-26","NY",10,344,"2026-04-01T16:16:08.039869Z"
"ZB","2026-03-27","NY",10,1292,"2026-04-01T16:16:08.040678Z"
"ZB","2026-03-30","NY",10,1911,"2026-04-01T16:16:08.041553Z"
"ZN","2026-02-25","NY",4,1402,"2026-04-01T16:16:08.048370Z"
"ZN","2026-02-26","NY",4,17,"2026-04-01T16:16:08.049841Z"
"ZN","2026-02-27","NY",4,153,"2026-04-01T16:16:08.051172Z"
"ZN","2026-03-02","NY",4,14,"2026-04-01T16:16:08.052090Z"
"ZN","2026-03-03","NY",4,86,"2026-04-01T16:16:08.052959Z"
"ZN","2026-03-04","NY",4,11,"2026-04-01T16:16:08.053762Z"
"ZN","2026-03-05","NY",4,7,"2026-04-01T16:16:08.054810Z"
"ZN","2026-03-06","NY",4,10,"2026-04-01T16:16:08.055590Z"
"ZN","2026-03-09","NY",4,14,"2026-04-01T16:16:08.056377Z"
"ZN","2026-03-10","NY",4,0,"2026-04-01T16:16:08.057171Z"
"ZN","2026-03-11","NY",4,0,"2026-04-01T16:16:08.058053Z"
